# Mapping of PE-styled names to Desktop-styled names
# format: pe_name,desktop_name
## Blocks

# These are done by hand (less confusion)
pumpkin_2,pumpkin_face_off
pumpkin_3,pumpkin_face_on
pumpkin_stem,melon_stem_disconnected
pumpkin_stem_1,melon_stem_connected
quartz_block,quartz_block_bottom
quartz_block_1,quartz_block_side
quartz_block_2,quartz_block_side
quartz_block_3,quartz_block_lines
quartz_block_4,quartz_block_lines_top
quartz_block_5,quartz_block_chiseled
quartz_block_6,quartz_block_chiseled_top
redsandstone,red_sandstone_normal
redsandstone_1,red_sandstone_carved
redsandstone_2,red_sandstone_smooth
redsandstone_3,red_sandstone_top
redsandstone_4,red_sandstone_bottom
redstone_dust_cross_overlay,redstone_dust_overlay
redstone_dust_line_overlay,redstone_dust_overlay
sandstone,sandstone_normal
sandstone_1,sandstone_carved
sandstone_2,sandstone_smooth
sandstone_3,sandstone_top
sandstone_4,sandstone_bottom
sand_1,red_sand
sapling,sapling_oak
sapling_1,sapling_birch
sapling_2,sapling_spruce
sapling_3,sapling_jungle
sapling_4,sapling_acacia
sapling_5,sapling_roofed_oak
stained_clay,hardened_clay_stained_white
stained_clay_1,hardened_clay_stained_orange
stained_clay_2,hardened_clay_stained_magenta
stained_clay_3,hardened_clay_stained_light_blue
stained_clay_4,hardened_clay_stained_yellow
stained_clay_5,hardened_clay_stained_lime
stained_clay_6,hardened_clay_stained_pink
stained_clay_7,hardened_clay_stained_gray
stained_clay_8,hardened_clay_stained_silver
stained_clay_9,hardened_clay_stained_cyan
stained_clay_10,hardened_clay_stained_purple
stained_clay_11,hardened_clay_stained_blue
stained_clay_12,hardened_clay_stained_brown
stained_clay_13,hardened_clay_stained_green
stained_clay_14,hardened_clay_stained_red
stained_clay_15,hardened_clay_stained_black
stonebrick_1,stonebrick_mossy
stonebrick_2,stonebrick_cracked
stonebrick_3,stonebrick_carved
stonecutter_1,furnace_side
stonecutter_3,furnace_top
stone_1,stone_granite
stone_2,stone_granite_smooth
stone_3,stone_diorite
stone_4,stone_diorite_smooth
stone_5,stone_andesite
stone_6,stone_andesite_smooth
stone_slab,stone_slab_top
stone_slab_1,stone_slab_side
sunflower_additional,double_plant_sunflower_front
sunflower_additional_1,double_plant_sunflower_back
tallgrass_1,deadbush
tnt,tnt_side
tnt_1,tnt_top
tnt_2,tnt_bottom
wheat,wheat_stage_0
wheat_1,wheat_stage_1
wheat_2,wheat_stage_2
wheat_3,wheat_stage_3
wheat_4,wheat_stage_4
wheat_5,wheat_stage_5
wheat_6,wheat_stage_6
wheat_7,wheat_stage_7
wool,wool_colored_white
wool_1,wool_colored_orange
wool_2,wool_colored_magenta
wool_3,wool_colored_light_blue
wool_4,wool_colored_yellow
wool_5,wool_colored_lime
wool_6,wool_colored_pink
wool_7,wool_colored_gray
wool_8,wool_colored_silver
wool_9,wool_colored_cyan
wool_10,wool_colored_purple
wool_11,wool_colored_blue
wool_12,wool_colored_brown
wool_13,wool_colored_green
wool_14,wool_colored_red
wool_15,wool_colored_black
